question,answer,guess_word,label
enormously,tremendously,tremendously,correct
provisions,stipulations,jurisdictions,incorrect
haphazardly,randomly,densely,incorrect
prominent,conspicuous,mysterious,incorrect
zenith,pinnacle,pinnacle,correct
flawed,imperfect,imperfect,correct
urgently,desperately,desperately,correct
consumed,eaten,eaten,correct
advent,coming,coming,correct
concisely,succinctly,succinctly,correct
salutes,greetings,greetings,correct
solitary,alone,restless,incorrect
hasten,accelerate,accelerate,correct
perseverance,endurance,endurance,correct
fanciful,imaginative,imaginative,correct
showed,demonstrated,demonstrated,correct
constantly,continually,continually,correct
issues,subjects,benefits,incorrect
furnish,supply,advise,incorrect
costly,expensive,expensive,correct
recognized,acknowledged,acknowledged,correct
spot,location,location,correct
make,earn,trade,incorrect
often,frequently,frequently,correct
easygoing,relaxed,relaxed,correct
debate,argument,election,incorrect
narrow,thin,clear,incorrect
arranged,planned,planned,correct
infinite,limitless,limitless,correct
showy,striking,incidental,incorrect
levied,imposed,imposed,correct
deftly,skillfully,humorously,incorrect
distribute,circulate,commercialize,incorrect
discrepancies,differences,differences,correct
prolific,productive,promising,incorrect
unmatched,unequaled,unrecognized,incorrect
peculiarly,uniquely,,guess
hue,color,color,correct
hind,rear,hairy,incorrect
highlight,accentuate,alter,incorrect
hastily,hurriedly,hurriedly,correct
temperate,mild,windy,incorrect
grin,smile,smile,correct
verbally,orally,overtly,incorrect
physician,doctor,nurse,incorrect
essentially,basically,basically,correct
keen,sharp,sharp,correct
situated,positioned,positioned,correct
principal,major,most,incorrect
slowly,gradually,gradually,correct
built,constructed,constructed,correct
tasks,jobs,materials,incorrect
unlikely,improbable,different,incorrect
halfheartedly,apathetically,,guess
annals,chronicles,chronicles,correct
wildly,furiously,furiously,correct
hailed,acclaimed,acclaimed,correct
command,mastery,observation,incorrect
concocted,devised,devised,correct
prospective,potential,potential,correct
generally,broadly,accurately,incorrect
sustained,prolonged,prolonged,correct
perilous,dangerous,binding,incorrect
tranquillity,peacefulness,harshness,incorrect
dissipate,disperse,disperse,correct
primarily,chiefly,occasionally,incorrect
colloquial,conversational,conversational,correct
resolved,settled,settled,correct
feasible,possible,equitable,incorrect
expeditiously,rapidly,rapidly,correct
percentage,proportion,profit,incorrect
terminated,ended,postponed,incorrect
uniform,alike,hard,incorrect
figure,solve,list,incorrect
sufficient,enough,enough,correct
fashion,manner,craze,incorrect
marketed,sold,sold,correct
bigger,larger,larger,correct
roots,origins,origins,correct
normally,ordinarily,permanently,incorrect
